dataset,model,model_config,model_name,fraction,unlabeled_ratio,run,epoch,loss,g_loss,d_loss,d_loss_sup,d_loss_unsup,c_loss,accuracy,macro_f1,val_loss,val_accuracy,val_macro_f1,test_loss,test_accuracy,test_macro_f1
mams,baseline,,baseline,0.075,,2,3.0,0.9774473309516908,,,,,,0.6131465435028076,0.6069718599319458,0.926079273223877,0.6571875214576721,0.4991500675678253,0.9239013195037842,0.6640625,0.5044550895690918
mams,baseline,,baseline,0.075,,2,4.0,0.8383125066757202,,,,,,0.6713362336158752,0.6675257086753845,0.956806182861328,0.6471874713897705,0.4934414327144623,0.9360566139221193,0.6490625143051147,0.4977885782718658
mams,baseline,,baseline,0.075,,3,0.0,1.328900694847107,,,,,,0.3885135054588318,0.3821100294589996,1.2184284925460815,0.3803125023841858,0.3008493781089782,1.2045421600341797,0.4084374904632568,0.3354824781417846
mams,baseline,,baseline,0.075,,3,1.0,1.1203606128692627,,,,,,0.5439189076423645,0.5450963377952576,0.9627974033355712,0.598437488079071,0.4622324407100677,0.9297443628311156,0.6143749952316284,0.4856199920177459
mams,baseline,,baseline,0.075,,3,2.0,0.963403582572937,,,,,,0.6216216087341309,0.6205276250839233,0.976611077785492,0.6050000190734863,0.4659187197685241,0.9254660606384276,0.6312500238418579,0.4924186468124389
mams,baseline,,baseline,0.075,,3,3.0,0.821827232837677,,,,,,0.6970720887184143,0.6950429677963257,1.121259331703186,0.5853124856948853,0.4681724905967712,1.07758367061615,0.5884374976158142,0.4779722094535827
mams,baseline,,baseline,0.075,,3,4.0,0.7620115280151367,,,,,,0.7083333134651184,0.7059086561203003,0.8482605218887329,0.690625011920929,0.5238369703292847,0.7828575372695923,0.7181249856948853,0.5481370091438293
mams,baseline,,baseline,0.075,,4,0.0,1.397068738937378,,,,,,0.2929184436798095,0.2801530361175537,1.3639397621154783,0.3021875023841858,0.2388872951269149,1.350841403007507,0.3228124976158142,0.255997896194458
mams,baseline,,baseline,0.075,,4,1.0,1.2667686939239502,,,,,,0.4334763884544372,0.4262979626655578,1.2008410692214966,0.5043749809265137,0.3726008534431457,1.170770525932312,0.5274999737739563,0.3841536939144134
mams,baseline,,baseline,0.075,,4,2.0,1.0896484851837158,,,,,,0.5622317790985107,0.5601802468299866,1.0939579010009766,0.5425000190734863,0.4461369514465332,1.0722354650497437,0.5456249713897705,0.4491476416587829
mams,baseline,,baseline,0.075,,4,3.0,0.9271551370620728,,,,,,0.6448497772216797,0.6412025094032288,0.9844984412193298,0.5928124785423279,0.4781528115272522,0.9843949675559998,0.6003124713897705,0.4842960238456726
mams,baseline,,baseline,0.075,,4,4.0,0.7760909795761108,,,,,,0.7145922780036926,0.7128532528877258,0.9730709195137024,0.6415625214576721,0.5050973892211914,0.9465203881263732,0.6474999785423279,0.5013083219528198
mams,baseline,,baseline,0.1,,0,0.0,1.415740132331848,,,,,,0.3097133636474609,0.3086831867694855,1.3331741094589231,0.2571874856948852,0.2347126752138137,1.3243762254714966,0.2775000035762787,0.2426998317241668
mams,baseline,,baseline,0.1,,0,1.0,1.2609628438949585,,,,,,0.4235668778419494,0.4196697175502777,1.00361430644989,0.7225000262260437,0.5163099765777588,0.997362732887268,0.7262499928474426,0.5165485143661499
mams,baseline,,baseline,0.1,,0,2.0,1.0990376472473145,,,,,,0.5191082954406738,0.5119144320487976,1.0076135396957395,0.645312488079071,0.5103803277015686,0.9828646183013916,0.6596875190734863,0.5071426630020142
mams,baseline,,baseline,0.1,,0,3.0,0.9399532675743104,,,,,,0.6170381903648376,0.6140844225883484,0.9606693387031556,0.6278125047683716,0.4828490912914276,0.9342201948165894,0.6456249952316284,0.4783031344413757
mams,baseline,,baseline,0.1,,0,4.0,0.7935529947280884,,,,,,0.691082775592804,0.6902199983596802,0.9522424340248108,0.6575000286102295,0.5293848514556885,0.9123477935791016,0.6634374856948853,0.5198888182640076
mams,baseline,,baseline,0.1,,1,0.0,1.3914778232574463,,,,,,0.2925170063972473,0.2853209972381592,1.1112995147705078,0.6043750047683716,0.3691539466381073,1.0940779447555542,0.6393749713897705,0.3872536718845367
mams,baseline,,baseline,0.1,,1,1.0,1.2138978242874146,,,,,,0.4455782175064087,0.4405751526355743,0.9935649633407592,0.6228125095367432,0.4773760437965393,0.9647419452667236,0.6418750286102295,0.4851643741130829
mams,baseline,,baseline,0.1,,1,2.0,1.0597059726715088,,,,,,0.5654761791229248,0.5612504482269287,1.0401617288589478,0.6287500262260437,0.4945676922798157,1.0150922536849976,0.6331250071525574,0.4909628033638
mams,baseline,,baseline,0.1,,1,3.0,0.9116469621658324,,,,,,0.6454081535339355,0.6428723335266113,1.0326173305511477,0.6393749713897705,0.5063185691833496,0.9974014163017272,0.6387500166893005,0.498670369386673
mams,baseline,,baseline,0.1,,1,4.0,0.7882065773010254,,,,,,0.7023809552192688,0.7002028226852417,0.9666041731834412,0.6793749928474426,0.5346375703811646,0.93851900100708,0.6784374713897705,0.5224234461784363
mams,baseline,,baseline,0.1,,2,0.0,1.3387309312820437,,,,,,0.3354632556438446,0.3258846998214721,0.9814804792404176,0.6503124833106995,0.3581993579864502,0.9755218625068665,0.6628124713897705,0.3804949522018432
mams,baseline,,baseline,0.1,,2,1.0,1.0703247785568235,,,,,,0.5439296960830688,0.5384481549263,0.7155961394309998,0.7331249713897705,0.5579136610031128,0.7017632126808167,0.7396875023841858,0.559256374835968
mams,baseline,,baseline,0.1,,2,2.0,0.8785510659217834,,,,,,0.6453673839569092,0.642842173576355,0.6393692493438721,0.7568749785423279,0.5756680965423584,0.6331640481948853,0.7637500166893005,0.5809440612792969
